var,Coef.BaboonPanTissue,Coef.BaboonAdipose,Coef.BaboonBrain,Coef.BaboonCortex,Coef.BaboonLiver,Coef.BaboonMuscle,Coef.BaboonHeart,Coef.HumanBaboonAgeLogLinear,Coef.HumanBaboonRelativeAge,Coef.PrimateClockSqrt,Coef.PrimateRelativeAge,Coef.LemurMultiTissue,rep..Homo_sapiens.hg19...dim.datAnnotation...1...,CGid,SYMBOL,GeneRegionID,seqnames,CGstart,CGend,width,strand,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,ENTREZID,transcriptId,distanceToTSS,ENSEMBL,GENENAME,flank_txIds,flank_geneIds,flank_gene_distances,genic,Intergenic,Promoter,fiveUTR,threeUTR,Exon,Intron,downstream,distal_intergenic,main_Categories,CpGislandseqnames,CpGislandstart,CpGislandend,CpGislandwidth,CpGislandstrand,CpGislandlen,CpGislandcount,CpGislandgc,CpGislandoe,CpGislandden,CpGislandpvalue,CpGisland,stackHMM,repeatElements
cg26249364,9.703769036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg26249364,NOG,NOG_Exon,chr17,54672128,54672129,51,-,"Exon (uc002iup.2/9241, exon 1 of 1)",17,54671060,54672951,1892,1,9241,uc002iup.2,1068,ENSG00000183691,noggin,uc002iup.2,9241,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,17,54671770,54672376,607,*,607,57,0.68369028,0.80369338,0.093904448,1.41E-37,CpGisland,PromF5,NA
cg06493994,NA,NA,NA,NA,NA,NA,NA,0.536061992,0.060403145,NA,NA,NA,Homo_sapiens.hg19,cg06493994,SCGN,SCGN_fiveUTR,chr6,25652602,25652603,51,-,Promoter (<=1kb),6,25652429,25702008,49580,1,10590,uc003nfb.3,173,ENSG00000079689,"secretagogin, EF-hand calcium binding protein",uc003nfb.3;uc010jpz.3,10590;10590,0;0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,fiveUTR,6,25652600,25652709,110,*,110,12,0.672727273,0.964912281,0.109090909,4.43E-09,CpGisland,BivProm2,NA
cg06681652,NA,NA,NA,NA,NA,NA,NA,-0.194872699,-0.015360599,NA,NA,NA,Homo_sapiens.hg19,cg06681652,C11orf87,C11orf87_Exon,chr11,109294633,109294634,51,-,"Exon (uc010rwb.2/399947, exon 2 of 2)",11,109292846,109299893,7048,1,399947,uc010rwb.2,1787,ENSG00000185742,chromosome 11 open reading frame 87,uc010rwb.2,399947,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,11,109294584,109294983,400,*,400,27,0.6525,0.64717162,0.0675,2.35E-14,CpGisland,BivProm2,NA
cg06777598,NA,NA,NA,NA,NA,NA,NA,-0.002279087,-0.000944827,NA,NA,NA,Homo_sapiens.hg19,cg06777598,CTIF,CTIF_Intron,chr18,46190808,46190809,51,+,"Intron (uc002ldc.3/9811, intron 4 of 11)",18,46065427,46389586,324160,1,9811,uc002ldc.3,125331,ENSG00000134030,cap binding complex dependent translation initiation factor,uc002ldc.3;uc002ldd.3,9811;9811,0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PromF1,NA
cg16604235,NA,NA,NA,NA,NA,NA,NA,-0.025719325,-0.002602233,NA,NA,NA,Homo_sapiens.hg19,cg16604235,FOXP4,FOXP4_Intergenic_upstream,chr6,41434816,41434817,50,-,Distal Intergenic,6,41514164,41570122,55959,1,116113,uc003oqn.3,-79346,ENSG00000137166,forkhead box P4,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ReprPC2,NA
cg02483102,NA,9.176982971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg02483102,PEBP4,PEBP4_Intron,chr8,22732357,22732358,50,+,"Intron (uc003xcn.1/157310, intron 3 of 6)",8,22570765,22785421,214657,2,157310,uc003xcn.1,53064,ENSG00000134020,phosphatidylethanolamine binding protein 4,uc003xcn.1,157310,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ReprPC3,NA
cg02997164,-1.006257651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg02997164,BCL11A,BCL11A_Exon,chr2,60688233,60688234,51,+,"Exon (uc002sab.3/53335, exon 4 of 5)",2,60678302,60780633,102332,2,53335,uc002sab.3,92400,ENSG00000119866,BAF chromatin remodeling complex subunit BCL11A,uc002sab.3;uc002sac.3;uc010ypi.2;uc010ypj.2;uc002sad.1;uc002sae.1;uc002saf.1,53335;53335;53335;53335;53335;53335;53335,0;0;0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Exon,2,60688205,60688370,166,*,166,20,0.692771084,1.007893139,0.120481928,8.13E-16,CpGisland,TxEnh5,NA
cg07850604,18.02226377,4.097403314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg07850604,INSM2,INSM2_fiveUTR,chr14,36003443,36003444,51,+,Promoter (<=1kb),14,36003248,36006260,3013,1,84684,uc001wth.1,145,ENSG00000168348,INSM transcriptional repressor 2,uc010amp.3;uc001wti.3;uc001wtj.3;uc010tpv.2;uc001wth.1,253959;253959;253959;253959;84684,0;0;0;0;0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,fiveUTR,14,36002599,36004100,1502,*,1502,184,0.730359521,0.91935119,0.122503329,9.56E-143,CpGisland,BivProm1,NA
cg02755684,NA,-5.611878636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg02755684,ELAVL4,ELAVL4_Intron,chr1,50571863,50571864,50,+,"Intron (uc001cry.3/1996, intron 1 of 6)",1,50513686,50667540,153855,1,1996,uc001cry.3,58179,ENSG00000162374,ELAV like RNA binding protein 4,uc001cry.3;uc001crz.3;uc001csa.3;uc001csb.2;uc001csc.3;uc009vyu.3;uc010omz.2,1996;1996;1996;1996;1996;1996;1996,0;0;0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BivProm3,NA
cg18138765,-4.95245192,NA,-19.03105804,NA,NA,NA,NA,-0.767199072,NA,NA,NA,NA,Homo_sapiens.hg19,cg18138765,LINC00473,LINC00473_Intergenic_upstream,chr6,166419777,166419778,51,-,Distal Intergenic,6,166337536,166401527,63992,2,90632,uc011egl.1,-18300,ENSG00000112541,long intergenic non-protein coding RNA 473,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_upstream,6,166419769,166419841,73,*,73,8,0.671232877,0.976588629,0.109589041,3.73E-06,CpGisland,TSS2,NA
cg20778764,0.407674835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg20778764,MBIP,MBIP_Intergenic_downstream,chr14,36741839,36741840,50,-,Distal Intergenic,14,36767764,36789882,22119,2,51562,uc010tpy.1,48092,ENSG00000151332,MAP3K12 binding inhibitory protein 1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_downstream,14,36741748,36741853,106,*,106,10,0.58490566,1.121693122,0.094339623,5.34E-07,CpGisland,BivProm2,NA
cg03740595,0.034136425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg03740595,KAT6A,KAT6A_Exon,chr8,41836193,41836194,50,+,"Exon (uc003xon.4/7994, exon 6 of 17)",8,41786997,41909505,122509,2,7994,uc003xon.4,73312,ENSG00000083168,lysine acetyltransferase 6A,uc003xon.4;uc010lxb.3;uc010lxc.3;uc010lxd.3,7994;7994;7994;7994,0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tx7,NA
cg22515205,NA,NA,NA,NA,NA,NA,NA,-0.230599651,-0.017787504,NA,NA,NA,Homo_sapiens.hg19,cg22515205,AKTIP,AKTIP_Intergenic_upstream,chr16,53578522,53578523,50,-,Distal Intergenic,16,53525192,53537170,11979,2,64400,uc002ehk.3,-41351,ENSG00000166971,AKT interacting protein,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_upstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EnhWk5,NA
cg17995270,NA,NA,NA,NA,NA,NA,NA,-0.255466526,-0.02949782,NA,NA,NA,Homo_sapiens.hg19,cg17995270,TMEM63B,TMEM63B_Exon,chr6,44119652,44119653,51,+,"Exon (uc003owr.3/55362, exon 19 of 24)",6,44095376,44123256,27881,1,55362,uc003owr.3,24226,ENSG00000137216,transmembrane protein 63B,uc003owq.1;uc003owr.3;uc003ows.3;uc010jyz.3,55362;55362;55362;55362,24226;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,6,44119578,44119781,204,*,204,23,0.666666667,1.018229167,0.112745098,2.04E-17,CpGisland,PromF1,NA
cg07803121,NA,NA,NA,NA,NA,NA,NA,0.729961846,0.02974946,NA,NA,NA,Homo_sapiens.hg19,cg07803121,ADGRB2,ADGRB2_Exon,chr1,32200828,32200829,50,-,"Exon (uc010ogp.2/576, exon 21 of 29)",1,32192718,32229648,36931,2,576,uc001btn.3,28821,ENSG00000121753,adhesion G protein-coupled receptor B2,uc010ogn.2;uc010ogo.2;uc010ogp.2;uc010ogq.2;uc001btn.3;uc001bto.3;uc001btp.1;uc001btq.1;uc010ogr.1,576;576;576;576;576;576;576;576;576,0;0;0;0;0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quies3,NA
cg18117260,NA,NA,NA,NA,NA,NA,NA,1.886190865,0.030331196,NA,NA,NA,Homo_sapiens.hg19,cg18117260,ZFHX3,ZFHX3_Promoter,chr16,73093024,73093025,50,+,Promoter (<=1kb),16,72816786,73092534,275749,2,463,uc002fcl.3,-492,ENSG00000140836,zinc finger homeobox 3,uc002fcl.3,463,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PromF5,NA
cg00031896,NA,NA,NA,NA,NA,NA,NA,-0.052502636,-0.007293524,-0.01738327,NA,NA,Homo_sapiens.hg19,cg00031896,KDM2B,KDM2B_Promoter,chr12,122020205,122020206,51,-,Promoter (1-2kb),12,121866900,122018920,152021,2,84678,uc001uat.3,-1335,ENSG00000089094,lysine demethylase 2B,uc001uas.3;uc021rfd.1;uc001uat.3;uc001uau.3;uc021rfe.1;uc001uav.4,84678;84678;84678;84678;84678;84678,0;0;0;0;0;0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TSS2,NA
cg20825437,NA,5.356442517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg20825437,PRKCE,PRKCE_Exon,chr2,45879512,45879513,51,+,Promoter (<=1kb),2,45879043,46415129,536087,1,5581,uc002rut.3,419,ENSG00000171132,protein kinase C epsilon,uc002rut.3,5581,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,2,45879278,45879522,245,*,245,25,0.628571429,1.047366621,0.102040816,9.48E-18,CpGisland,PromF5,NA
cg08069459,NA,NA,NA,NA,NA,NA,NA,-0.094423904,-0.004883526,NA,NA,NA,Homo_sapiens.hg19,cg08069459,LINGO1,LINGO1_Intron,chr15,77919580,77919581,50,+,"Intron (uc002bct.1/84894, intron 1 of 1)",15,77905369,77988475,83107,2,84894,uc002bcu.1,68895,ENSG00000169783,leucine rich repeat and Ig domain containing 1,uc002bct.1;uc002bcu.1,84894;84894,0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EnhA18,NA
cg01193554,NA,NA,NA,NA,NA,NA,NA,-0.23395763,-0.041073473,-0.098646609,NA,NA,Homo_sapiens.hg19,cg01193554,EDN2,EDN2_Intergenic_downstream,chr1,41846683,41846684,51,-,Distal Intergenic,1,41944446,41949874,5429,2,1907,uc009vwj.3,103191,ENSG00000127129,endothelin 2,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BivProm2,NA
cg18425696,NA,NA,NA,NA,NA,NA,NA,-0.776215542,-0.118610568,NA,NA,NA,Homo_sapiens.hg19,cg18425696,SIX4,SIX4_Exon,chr14,61190401,61190402,50,+,Promoter (<=1kb),14,61176256,61190852,14597,2,51804,uc001xfc.3,451,ENSG00000100625,SIX homeobox 4,uc001xfc.3;uc010app.1,51804;51804,0;0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,14,61190012,61190772,761,*,761,83,0.695137976,0.902870294,0.109067017,3.85E-60,CpGisland,PromF5,NA
cg16058600,NA,0.893220786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg16058600,NR4A2,NR4A2_Intron,chr2,157183013,157183014,51,-,"Intron (uc021vri.1/4929, intron 4 of 5)",2,157180944,157189287,8344,2,4929,uc002tyx.4,6224,ENSG00000153234,nuclear receptor subfamily 4 group A member 2,uc021vri.1;uc002tyx.4;uc002tyz.4;uc010zcf.2;uc010zcg.1,4929;4929;4929;4929;4929,0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ReprPC2,ReprPC2",Low_complexity
cg08357395,NA,NA,NA,NA,NA,NA,NA,-2.520247708,-0.069229794,NA,NA,NA,Homo_sapiens.hg19,cg08357395,TRIM8,TRIM8_Exon,chr10,104404709,104404710,50,+,Promoter (<=1kb),10,104404252,104418076,13825,1,81603,uc001kvz.2,458,ENSG00000171206,tripartite motif containing 8,uc001kvz.2,81603,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,10,104404562,104404968,407,*,407,46,0.69041769,0.949873161,0.113022113,2.15E-34,CpGisland,PromF4,NA
cg03125191,NA,NA,NA,NA,NA,NA,NA,-0.276901474,-0.032493497,-0.05748575,NA,NA,Homo_sapiens.hg19,cg03125191,ZSWIM8,ZSWIM8_threeUTR,chr10,75560640,75560641,50,+,3' UTR,10,75545382,75561556,16175,1,23053,uc001jve.3,15209,ENSG00000214655,zinc finger SWIM-type containing 8,uc001jve.3;uc001jvf.3;uc001jvj.3;uc009xrl.3;uc001jvh.3;uc001jvi.3;uc010qkr.2;uc009xrn.2;uc010qks.1;uc001jvk.2;uc010qkt.1;uc001jvl.1;uc009xro.2;uc010qku.1,23053;23053;23053;23053;23053;23053;23053;23053;8509;8509;8509;8509;8509;8509,0;0;0;0;0;0;0;0;0;0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,threeUTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tx5,NA
cg13669200,NA,NA,NA,NA,NA,NA,NA,-1.473571275,-0.159071972,NA,NA,NA,Homo_sapiens.hg19,cg13669200,FOXP4,FOXP4_Exon,chr6,41559027,41559028,50,+,"Exon (uc003oql.3/116113, exon 13 of 17)",6,41514164,41570122,55959,1,116113,uc003oql.3,44814,ENSG00000137166,forkhead box P4,uc003oql.3;uc003oqm.3;uc003oqn.3,116113;116113;116113,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEnh5,NA
cg05977952,NA,NA,NA,NA,NA,NA,NA,0.002949347,NA,NA,NA,NA,Homo_sapiens.hg19,cg05977952,SATB1,SATB1_Exon,chr3,18436040,18436041,51,+,"Exon (uc003cbh.3/6304, exon 7 of 11)",3,18389133,18480265,91133,2,6304,uc003cbj.3,44225,ENSG00000182568,SATB homeobox 1,uc003cbh.3;uc003cbi.3;uc003cbj.3,6304;6304;6304,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tx7,NA
cg12126471,2.089974735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg12126471,PELI1,PELI1_Exon,chr2,64322159,64322160,51,-,"Exon (uc002scr.4/57162, exon 3 of 3)",2,64319786,64371605,51820,2,57162,uc002sct.4,49396,ENSG00000197329,pellino E3 ubiquitin protein ligase 1,uc002scr.4;uc002scs.4;uc002sct.4,57162;57162;57162,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEx2,NA
cg20682781,NA,NA,NA,NA,NA,NA,NA,-0.004733584,-0.000944812,NA,NA,NA,Homo_sapiens.hg19,cg20682781,PAX2,PAX2_Intergenic_upstream,chr10,102415545,102415546,51,-,Distal Intergenic,10,102505468,102589698,84231,1,5076,uc010qps.2,-89923,ENSG00000075891,paired box 2,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_upstream,10,102415537,102415635,99,*,99,16,0.757575758,1.203647416,0.161616162,5.17E-15,CpGisland,BivProm2,NA
cg19093840,NA,NA,NA,NA,NA,NA,NA,-0.420366762,-0.013056747,NA,NA,NA,Homo_sapiens.hg19,cg19093840,ZNF507,ZNF507_Intergenic_upstream,chr19,32533012,32533013,51,+,Distal Intergenic,19,32836514,32850707,14194,1,22847,uc002ntc.2,-303502,ENSG00000168813,zinc finger protein 507,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_upstream,19,32532878,32533023,146,*,146,13,0.52739726,1.298221614,0.089041096,1.13E-08,CpGisland,TSS2,NA
cg06981318,0.053704642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg06981318,MBIP,MBIP_Intergenic_downstream,chr14,36741799,36741800,50,-,Distal Intergenic,14,36767764,36789882,22119,2,51562,uc010tpy.1,48132,ENSG00000151332,MAP3K12 binding inhibitory protein 1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_downstream,14,36741748,36741853,106,*,106,10,0.58490566,1.121693122,0.094339623,5.34E-07,CpGisland,BivProm1,NA
cg04875128,NA,NA,NA,NA,NA,NA,NA,0.265610311,0.035219235,0.213021874,NA,NA,Homo_sapiens.hg19,cg04875128,OTUD7A,OTUD7A_Exon,chr15,31775895,31775896,51,-,"Exon (uc001zfq.3/161725, exon 11 of 11)",15,31775329,32162784,387456,2,161725,uc001zfr.3,386839,ENSG00000169918,OTU deubiquitinase 7A,uc001zfq.3;uc001zfr.3,161725;161725,0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,15,31775309,31777018,1710,*,1710,242,0.714619883,1.10944592,0.141520468,3.45E-205,CpGisland,TSS2,NA
cg09151214,NA,NA,NA,NA,NA,NA,NA,0.534041556,0.116763071,NA,NA,NA,Homo_sapiens.hg19,cg09151214,ARHGAP23,ARHGAP23_Exon,chr17,36635728,36635729,51,-,"Exon (uc021twd.1/57636, exon 13 of 24)",17,36584720,36668628,83909,1,57636,uc021twd.1,51008,ENSG00000275832,Rho GTPase activating protein 23,uc021twd.1;uc021twe.1;uc002hqc.3,57636;57636;57636,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEx3,NA
cg13944639,NA,NA,NA,NA,NA,NA,NA,-0.25447381,-0.002377384,NA,NA,NA,Homo_sapiens.hg19,cg13944639,FGF5,FGF5_Exon,chr4,81188269,81188270,51,+,Promoter (<=1kb),4,81187742,81212171,24430,1,2250,uc003hmd.3,477,ENSG00000138675,fibroblast growth factor 5,uc003hmd.3;uc003hme.3,2250;2250,0;0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BivProm1,NA
cg07598659,NA,18.43811915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg07598659,NRXN1,NRXN1_Intron,chr2,50575005,50575006,50,+,"Intron (uc002rxb.4/9378, intron 11 of 16)",2,50145643,51259674,1114032,2,9378,uc021vhi.1,684669,ENSG00000179915,neurexin 1,uc010fbp.3;uc002rxb.4;uc021vhg.1;uc021vhh.1;uc021vhi.1;uc021vhj.1;uc002rxc.1,9378;9378;9378;9378;9378;9378;9378,0;0;0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Intron,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BivProm2,NA
cg09348974,NA,NA,NA,NA,NA,NA,NA,-0.559111479,-0.202039338,NA,NA,NA,Homo_sapiens.hg19,cg09348974,ZNF827,ZNF827_Promoter,chr4,146859940,146859941,51,+,Promoter (<=1kb),4,146681888,146859607,177720,2,152485,uc010iox.3,-283,ENSG00000151612,zinc finger protein 827,uc003ikm.3;uc003ikn.3;uc010iox.3,152485;152485;152485,0;0;0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,4,146859884,146860077,194,*,194,17,0.592783505,1.006715507,0.087628866,4.32E-11,CpGisland,PromF4,NA
cg21969011,NA,-3.003507868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg21969011,TSG1,TSG1_Intergenic_downstream,chr6,94755523,94755524,50,-,Distal Intergenic,6,94428021,94456473,28453,1,643432,uc003pok.3,327502,NA,tumor suppressor TSG1,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Intergenic_downstream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EnhA18,NA
cg13510262,-3.796894322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Homo_sapiens.hg19,cg13510262,SP1,SP1_fiveUTR,chr12,53774037,53774038,51,+,Promoter (<=1kb),12,53773979,53810226,36248,1,6667,uc001scw.3,8,ENSG00000185591,Sp1 transcription factor,uc001scw.3;uc021qyf.1;uc010sog.2,6667;6667;6667,0;0;0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,fiveUTR,12,53773977,53774038,62,*,62,9,0.741935484,1.2,0.14516129,5.02E-08,CpGisland,TSS1,NA
cg06778009,NA,NA,NA,NA,NA,NA,NA,-0.949304251,-0.119916524,-0.000810888,NA,NA,Homo_sapiens.hg19,cg06778009,TOE1,TOE1_Exon,chr1,45808116,45808117,51,+,"Exon (uc009vxq.3/114034, exon 6 of 8)",1,45805342,45809650,4309,1,114034,uc009vxq.3,2724,ENSG00000132773,"target of EGR1, exonuclease",uc009vxr.1;uc001cns.1;uc009vxs.1;uc010olo.1;uc009vxq.3;uc010olm.2;uc010oln.1;uc001cnr.4;uc001cnf.3;uc001cng.3;uc009vxo.3;uc001cnh.3;uc001cni.3;uc001cnj.3;uc001cnl.3;uc001cnm.3;uc001cnn.3;uc001cno.3;uc009vxp.3;uc010oll.2,10420;10420;10420;10420;114034;114034;114034;114034;4595;4595;4595;4595;4595;4595;4595;4595;4595;4595;4595;4595,115427;148724;148724;148724;0;0;0;0;-2437;-2437;-2437;-2279;-2279;-2279;-1924;-1924;-1924;-1924;-1924;-1924,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxEx1,NA
cg06836772,NA,NA,NA,NA,NA,NA,NA,-0.632996444,-0.106746637,-0.014721011,NA,NA,Homo_sapiens.hg19,cg06836772,PRKAA2,PRKAA2_Promoter,chr1,57110403,57110404,51,-,Promoter (<=1kb),1,57110990,57181008,70019,1,5563,uc031pms.1,-587,ENSG00000162409,protein kinase AMP-activated catalytic subunit alpha 2,uc001cyk.4;uc031pmr.1;uc031pms.1,5563;5563;5563,0;0;0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Promoter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PromF5,NA
cg25162386,NA,NA,NA,NA,NA,NA,NA,0.007322646,0.000210982,NA,NA,NA,Homo_sapiens.hg19,cg25162386,MAFF,MAFF_Exon,chr22,38610675,38610676,51,-,"Exon (uc003avc.3/23764, exon 3 of 3)",22,38597939,38612517,14579,1,23764,uc003avc.3,12736,ENSG00000185022,MAF bZIP transcription factor F,uc003avc.3;uc011anp.2;uc011anq.2;uc011anr.2;uc003avd.3;uc003avf.1;uc003avg.2;uc003avh.2,23764;23764;23764;23764;23764;25829;25829;25829,0;0;0;0;0;0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,22,38610641,38610955,315,*,315,45,0.771428571,0.983009709,0.142857143,7.50E-39,CpGisland,TSS2,NA
cg20049544,NA,NA,NA,NA,NA,NA,NA,-0.141643667,-0.005461843,NA,NA,NA,Homo_sapiens.hg19,cg20049544,CNOT6L,CNOT6L_Exon,chr4,78697502,78697503,50,-,"Exon (uc011ccd.2/246175, exon 2 of 12)",4,78634541,78740522,105982,2,246175,uc011ccd.2,43021,ENSG00000138767,CCR4-NOT transcription complex subunit 6 like,uc011ccd.2;uc003hks.3;uc011cce.1,246175;246175;246175,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TxWk1,NA
cg20295353,NA,NA,NA,NA,NA,NA,NA,0.070494502,0.001049713,NA,NA,NA,Homo_sapiens.hg19,cg20295353,ZBTB1,ZBTB1_Exon,chr14,64989846,64989847,51,-,"Exon (uc001xhh.4/22890, exon 4 of 4)",14,64970703,64991669,20967,1,22890,uc001xhh.4,19143,ENSG00000126804,zinc finger and BTB domain containing 1,uc001xhh.4;uc010aqg.3;uc001xhi.2,22890;22890;22890,0;0;0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Exon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tx4,NA
