"var","Coef.Universal3_Age.LogLinearRelAdult","Coef.Universal2_RelativeAge","Coef.CHR","Coef.bp_hg38","Coef.Gene","Coef.Gene.hg19","Coef.ENTREZID","Coef.conservationInMouse","Coef.GeneRegionID","Coef.annotation","Coef.CHR_mm10","Coef.bp_mm10","Coef.Gene_mm10"
"cg10677704",-0.627960421,-0.117856204,"22",29290395,"EWSR1","EWSR1",2130,"conserved gene but different region in human and mouse","EWSR1_Exon","Exon (ENST00000483415.5/2130, exon 8 of 8)","11",5080705,"Ewsr1"
"cg24597392",0.261008913,0.180382833,"22",35768289,"RBFOX2","RBFOX2",23543,"conserved gene and region in mouse and human","RBFOX2_Exon","Exon (ENST00000405409.6/23543, exon 5 of 12)","15",77105657,"Rbfox2"
"cg17905888",-0.19592542,-4.57676e-05,"2",155727368,"LINC01876","NR4A2",101929378,"mapped in human, not mapped in mouse","LINC01876_Intergenic_downstream","Distal Intergenic","2",56454784,"Gm13518"
"cg18419637",-0.451312862,-0.200546657,"2",66512232,"MEIS1","MEIS1",4211,"conserved gene and region in mouse and human","MEIS1_Exon","Exon (ENST00000272369.14/4211, exon 8 of 13)","11",18941720,"Meis1"
"cg18433728",-0.374013641,-0.142364205,"2",174846961,"CHN1","CHN1",1123,"conserved gene and region in mouse and human","CHN1_Exon","Promoter (<=1kb)","2",73659761,"Chn1"
"cg19707231",-0.092232763,-0.118124274,"1",201788630,"IPO9-AS1","NAV1",100873949,"mapped to different gene in human and mouse","IPO9-AS1_threeUTR","3' UTR","1",135465846,"Nav1"
"cg03320248",0.08862498,0.001015294,"9",132099317,"MED27","MED27",9442,"conserved gene and region in mouse and human","MED27_Intergenic_upstream","Distal Intergenic","2",29320768,"Med27"
"cg02968236",-0.143674636,-0.019829188,"11",78786107,"TENM4","TENM4",26011,"conserved gene but different region in human and mouse","TENM4_Intron","Intron (ENST00000278550.12/26011, intron 16 of 33)","7",96798193,"Tenm4"
"cg04725401",0.165054018,0.144229417,"11",65344604,"DPF2","DPF2",5977,"conserved gene and region in mouse and human","DPF2_Exon","Exon (ENST00000530993.5/5977, exon 6 of 7)","19",5903747,"Dpf2"
"cg05401971",0.951121379,0.51729423,"11",67250713,"KDM2A","KDM2A",22992,"mapped in human, not mapped in mouse","KDM2A_Exon","Exon (ENST00000529006.7/22992, exon 17 of 21)","19",4324421,"Kdm2a"
"cg17718834",0.066655416,0.032029928,"1",10623271,"PEX14","PEX14",5195,"conserved gene but different region in human and mouse","PEX14_threeUTR","3' UTR","4",148967378,"Pex14"
"cg18481180",-0.145891777,-0.015343677,"1",113963552,"HIPK1","HIPK1",204851,"mapped in human, not mapped in mouse","HIPK1_Intron","Intron (ENST00000426820.7/204851, intron 10 of 15)",NA,NA,NA
"cg18543660",0.00997077,0.047140321,"1",90834002,"LINC02609","BARHL2",105378853,"mapped to different gene in human and mouse","LINC02609_Intron","Intron (ENST00000671059.1/105378853, intron 1 of 2)","5",106559736,"Gm17304"
"cg19291010",-0.347719188,-0.112876048,"1",147612914,"BCL9","BCL9",607,"conserved gene and region in mouse and human","BCL9_Exon","Exon (ENST00000234739.8/607, exon 5 of 10)","3",97215396,"Bcl9"
"cg19411464",-0.004233437,-0.036400136,"1",70231873,"SRSF11","SRSF11",9295,"conserved gene but different region in human and mouse","SRSF11_fiveUTR","5' UTR","3",158023344,"Srsf11"
"cg13153497",-0.060454359,-0.038621079,"6",99349136,"FAXC","FAXC",84553,"conserved gene and region in mouse and human","FAXC_Exon","Promoter (<=1kb)","4",21931799,"Faxc"
"cg14794469",-0.028079475,-0.08514724,"6",21598085,"SOX4","SOX4",6659,"mapped in human, not mapped in mouse","SOX4_threeUTR","3' UTR",NA,NA,NA
"cg17783618",0.068498767,0.000174391,"6",147868304,"SAMD5","SAMD5",389432,"conserved gene and region in mouse and human","SAMD5_Intron","Intron (ENST00000427015.1/ENST00000427015.1, intron 1 of 2)","10",9345766,"Gm48750"
"cg18918349",-0.350811425,-0.325181027,"6",108165956,"NR2E1","NR2E1",7101,"conserved gene and region in mouse and human","NR2E1_Promoter","Promoter (<=1kb)","10",42583724,"Nr2e1"
"cg19109204",-0.262151629,-0.117021611,"6",50821677,"TFAP2B","TFAP2B",7021,"mapped in human, not mapped in mouse","TFAP2B_Intron","Intron (ENST00000344788.7/7021, intron 1 of 3)","1",19211946,"Tfap2b"
"cg21351544",0.453299203,0.108055523,"6",149369995,"TAB2","TAB2",23118,"conserved gene and region in mouse and human","TAB2_fiveUTR","5' UTR","10",7924788,"Tab2"
"cg19051359",0.107015183,0.028029867,"13",54394457,"MIR1297","MIR1297",100302187,"mapped to different gene in human and mouse","MIR1297_Intergenic_upstream","Distal Intergenic","14",81441366,"Cyp2c73-ps"
"cg10801485",0.188971473,0.019371181,"2",144465934,"ZEB2","ZEB2",9839,"conserved gene and region in mouse and human","ZEB2_Intron","Intron (ENST00000636820.1/9839, intron 1 of 8)","2",45058383,"Zeb2"
"cg12818872",0.550764025,0.07716034,"2",43905666,"LRPPRC","LRPPRC",10128,"mapped in human, not mapped in mouse","LRPPRC_Intron","Intron (ENST00000260665.12/10128, intron 31 of 37)","17",84716601,"Lrpprc"
"cg08538268",0.398301317,0.152393805,"9",23765097,"ELAVL2","ELAVL2",1993,"conserved gene and region in mouse and human","ELAVL2_fiveUTR","5' UTR","4",91311661,"Elavl2"
"cg09009312",-0.030226717,-0.002539866,"9",123654382,"DENND1A","DENND1A",57706,"conserved gene and region in mouse and human","DENND1A_Intron","Intron (ENST00000473039.5/57706, intron 6 of 17)","2",38023506,"Dennd1a"
"cg10439738",0.09893867,0.110012017,"9",125542176,"MAPKAP1","MAPKAP1",79109,"conserved gene and region in mouse and human","MAPKAP1_Intron","Intron (ENST00000373511.6/79109, intron 7 of 10)","2",34535014,"Mapkap1"
"cg25960060",-0.156249994,-0.125528889,"7",27156519,"HOXA7","HOXA7",3204,"conserved gene and region in mouse and human","HOXA7_Exon","Promoter (<=1kb)","6",52217379,"Hoxa7"
"cg26420776",0.100836212,0.038035306,"7",1237756,"UNCX","UNCX",340260,"conserved gene and region in mouse and human","UNCX_Intergenic_downstream","Distal Intergenic","5",139548762,"Uncx"
"cg26512254",2.638299422,0.693059678,"7",27200144,"HOTTIP","HOXA13",100316868,"mapped to different gene in human and mouse","HOTTIP_Intron","Intron (ENST00000421733.1/100316868, intron 1 of 1)","6",52260841,"Hoxa13"
"cg26973693",0.193605553,0.033974607,"7",1232388,"UNCX","UNCX",340260,"conserved gene but different region in human and mouse","UNCX_Promoter","Promoter (<=1kb)","5",139543500,"Uncx"
"cg02040024",0.3319775,0.109016144,"8",22691369,"EGR3","EGR3",1960,"mapped in human, not mapped in mouse","EGR3_threeUTR","3' UTR","14",70079008,"Egr3"
"cg02273345",-0.094024291,-0.05115149,"8",112408371,"CSMD3","CSMD3",114788,"conserved gene and region in mouse and human","CSMD3_Exon","Exon (ENST00000343508.7/114788, exon 35 of 72)","15",47755439,"Csmd3"
"cg09453226",0.011240456,0.057659305,"16",74899729,"WDR59","WDR59",79726,"conserved gene and region in mouse and human","WDR59_Exon","Exon (ENST00000569229.5/79726, exon 6 of 9)","8",111472661,"Wdr59"
"cg11215098",0.234182825,3.32082e-06,"16",52629817,"CASC16","CASC16",643714,"mapped to different gene in human and mouse","CASC16_Intron","Intron (ENST00000659170.1/ENST00000659170.1, intron 1 of 3)","8",90436708,"Tox3"
"cg11610869",0.101493014,0.028718373,"16",54890798,"CRNDE","CRNDE",643911,"mapped to different gene in human and mouse","CRNDE_Intron","Intron (ENST00000613942.2/643911, intron 4 of 5)","8",92335502,"Irx5"
"cg11948733",-0.250775578,-0.09410502,"16",30095371,"YPEL3","BOLA2",83719,"conserved gene and region in mouse and human","YPEL3_fiveUTR","Promoter (<=1kb)","7",126777833,"Ypel3"
"cg19663246",-0.237630503,-0.109630883,"7",32299483,"PDE1C","PDE1C",5137,"mapped in human, not mapped in mouse","PDE1C_Intron","Intron (ENST00000672256.1/5137, intron 1 of 1)",NA,NA,NA
"cg09482204",-0.171227843,-0.023764229,"18",74651247,"ZNF407","ZNF407",55628,"conserved gene and region in mouse and human","ZNF407_Intron","Intron (ENST00000582337.5/55628, intron 3 of 4)","18",84542652,"Zfp407"
"cg11803466",-0.591410288,-0.166794264,"18",48948569,"SMAD7","SMAD7",4092,"conserved gene and region in mouse and human","SMAD7_Intron","Intron (ENST00000262158.7/4092, intron 1 of 3)","18",75370761,"Smad7"
"cg13608832",-0.207064319,-0.002692195,"18",25231172,"ZNF521","ZNF521",25925,"conserved gene and region in mouse and human","ZNF521_Intron","Intron (ENST00000361524.8/25925, intron 3 of 7)","18",13850635,"Zfp521"
"cg01712842",0.396278993,0.041565693,"4",112523624,"NEUROG2-AS1","NEUROG2",105377372,"mapped to different gene in human and mouse","NEUROG2-AS1_Intron","Intron (ENST00000504009.1/105377372, intron 1 of 3)","3",127625813,"Neurog2"
"cg14991111",0.504276666,0.040279155,"7",135394031,"CNOT4","CNOT4",4850,"conserved gene and region in mouse and human","CNOT4_Exon","Exon (ENST00000451834.5/4850, exon 10 of 12)","6",35051175,"Cnot4"
"cg11488183",-0.237432875,-0.055917172,"10",51397876,"PRKG1","PRKG1",5592,"conserved gene and region in mouse and human","PRKG1_Intron","Intron (ENST00000401604.8/5592, intron 2 of 17)","19",31361298,"Prkg1"
"cg12314723",-0.16620323,-0.045197069,"10",101430403,"BTRC","BTRC",8945,"conserved gene and region in mouse and human","BTRC_Exon","Exon (ENST00000393441.8/8945, exon 2 of 14)","19",45423191,"Btrc"
"cg13935553",-0.058574935,-0.02827456,"12",26120667,"BHLHE41","BHLHE41",79365,"mapped in human, not mapped in mouse","BHLHE41_threeUTR","3' UTR",NA,NA,NA
"cg14237002",-0.622681038,-0.207969983,"12",69258067,"CPSF6","CPSF6",11052,"conserved gene but different region in human and mouse","CPSF6_threeUTR","3' UTR","10",117361851,"Cpsf6"
"cg14676280",-0.085346039,-0.138291862,"1",24647108,"SRRM1","SRRM1",10250,"conserved gene but different region in human and mouse","SRRM1_threeUTR","3' UTR","4",135346415,"Srrm1"
"cg14738500",0.079154474,0.023315556,"1",92486763,"GFI1","GFI1",2672,"conserved gene but different region in human and mouse","GFI1_fiveUTR","Promoter (<=1kb)","5",107726684,"Gfi1"
"cg22067905",0.465575031,0.167199443,"2",43905631,"LRPPRC","LRPPRC",10128,"conserved gene and region in mouse and human","LRPPRC_Intron","Intron (ENST00000260665.12/10128, intron 31 of 37)","17",84716566,"Lrpprc"
"cg22100382",0.038778668,0.066634267,"2",147512452,"ACVR2A","ACVR2A",92,"mapped in human, not mapped in mouse","ACVR2A_Intergenic_upstream","Distal Intergenic","2",48481565,"Gm13472"
"cg22267613",-0.254160748,-0.100028464,"2",144521227,"ZEB2-AS1","ZEB2",100303491,"mapped to different gene in human and mouse","ZEB2-AS1_Exon","Promoter (<=1kb)","2",45114096,"Zeb2"
"cg01409964",0.214952074,0.083311003,"13",78998527,"LINC00331","LINC00331",100874126,"mapped in human, not mapped in mouse","LINC00331_Intergenic_upstream","Distal Intergenic","14",104834630,"Gm5671"
"cg24488281",-0.135394455,-0.121955062,"2",144520539,"ZEB2-AS1","ZEB2-AS1",100303491,"mapped to different gene in human and mouse","ZEB2-AS1_Exon","Exon (ENST00000427278.8/100303491, exon 3 of 3)","2",45113399,"Zeb2"
"cg26709300",-0.250809378,-0.065382425,"16",30095361,"YPEL3","BOLA2",83719,"conserved gene and region in mouse and human","YPEL3_Exon","Promoter (<=1kb)","7",126777843,"Ypel3"
"cg01309159",-0.115502335,-0.054916848,"3",171066272,"TNIK","TNIK",23043,"mapped in human, not mapped in mouse","TNIK_Exon","Exon (ENST00000436636.7/23043, exon 32 of 33)","3",28666142,"Tnik"
"cg05261703",-0.160870435,-0.129021442,"3",9434050,"SETD5","SETD5",55209,"conserved gene but different region in human and mouse","SETD5_threeUTR","3' UTR","6",113110090,"Setd5"
"cg12421693",0.06586464,0.008043911,"1",216518256,"ESRRG","ESRRG",2104,"conserved gene and region in mouse and human","ESRRG_Intron","Intron (ENST00000616180.4/2104, intron 6 of 6)","1",188199743,"Esrrg"
"cg12425327",0.163519366,0.004379692,"1",62928845,"LINC01739","ATG4C",105378769,"mapped to different gene in human and mouse","LINC01739_Intergenic_downstream","Distal Intergenic","4",99313628,"Gm12689"
"cg04787747",0.395064496,0.1704938,"21",33576435,"DONSON","DONSON",29980,"mapped to different gene in human and mouse","DONSON_threeUTR","3' UTR","16",91678171,"Donson"
"cg08909367",0.080621474,0.031481533,"21",33096020,"OLIG1","OLIG1",116448,"conserved gene but different region in human and mouse","OLIG1_Intergenic_downstream","Distal Intergenic","16",91293063,"Olig1"
"cg01061575",0.225290178,0.031510738,"22",44702487,"PRR5-ARHGAP8","PRR5-ARHGAP8",553158,"mapped to different gene in human and mouse","PRR5-ARHGAP8_fiveUTR","Promoter (<=1kb)","15",84681195,"Prr5"
"cg01594275",0.902701811,0.247994017,"22",41160539,"EP300","EP300",2033,"conserved gene and region in mouse and human","EP300_Intron","Intron (ENST00000263253.9/2033, intron 19 of 30)","15",81633901,"Ep300"
"cg01063757",-0.065475822,-0.095529161,"10",113119965,"TCF7L2","TCF7L2",6934,"conserved gene and region in mouse and human","TCF7L2_Intron","Intron (ENST00000627217.3/6934, intron 5 of 13)","19",55888866,"Tcf7l2"
"cg01429475",0.713265653,0.119481691,"10",101451718,"BTRC","BTRC",8945,"conserved gene but different region in human and mouse","BTRC_Intron","Intron (ENST00000393441.8/8945, intron 2 of 13)","19",45446662,"Btrc"
"cg22057106",-0.21001078,-0.129713946,"3",114484274,"ZBTB20-AS5","ZBTB20",101929754,"mapped in human, not mapped in mouse","ZBTB20-AS5_Intron","Intron (ENST00000628886.1/101929754, intron 2 of 2)","16",43478362,"Zbtb20"
"cg06250511",0.030755572,0.02770522,"8",125219571,"NSMCE2","NSMCE2",286053,"mapped in human, not mapped in mouse","NSMCE2_Intron","Intron (ENST00000517532.5/286053, intron 5 of 6)",NA,NA,NA
"cg06878766",0.72576751,0.336647664,"8",56210721,"PLAG1","PLAG1",5324,"conserved gene and region in mouse and human","PLAG1_Promoter","Promoter (<=1kb)","4",3937818,"Plag1"
"cg04368876",0.199793841,0.024900264,"10",96833840,"LCOR","LCOR",84458,"mapped to different gene in human and mouse","LCOR_Intron","Intron (ENST00000371103.8/84458, intron 2 of 7)","19",41483958,"Lcor"
"cg04706544",0.133010484,0.048970692,"10",49396706,"DRGX","DRGX",644168,"conserved gene and region in mouse and human","DRGX_Promoter","Promoter (<=1kb)","14",32598755,"Prrxl1"
"cg05801021",0.079315246,0.094169856,"10",49396212,"DRGX","DRGX",644168,"conserved gene and region in mouse and human","DRGX_Promoter","Promoter (<=1kb)","14",32599268,"Prrxl1"
"cg24952195",0.388654918,0.065856574,"3",18356048,"SATB1","SATB1",6304,"conserved gene but different region in human and mouse","SATB1_Intron","Intron (ENST00000414318.2/9779, intron 1 of 8)","17",51746925,"Satb1"
"cg18024395",-0.496418442,-0.003985585,"19",49102146,"SNRNP70","SNRNP70",6625,"conserved gene and region in mouse and human","SNRNP70_threeUTR","3' UTR","7",45383151,"Snrnp70"
"cg05844902",-0.184806277,-0.011617505,"3",143848183,"SLC9A9","SLC9A9",285195,"mapped in human, not mapped in mouse","SLC9A9_Exon","Promoter (<=1kb)","9",94670200,"Slc9a9"
"cg03225697",-0.033915032,-0.070415212,"5",139847724,"NRG2","NRG2",9542,"conserved gene and region in mouse and human","NRG2_threeUTR","3' UTR","18",36017728,"Nrg2"
"cg04998737",0.77652788,0.487512428,"5",77645403,"OTP","OTP",23440,"conserved gene and region in mouse and human","OTP_Promoter","Promoter (5-6kb)","13",94869063,"Otp"
"cg02532525",0.645200864,0.149617321,"17",2050353,"MIR212","MIR212",406994,"mapped to different gene in human and mouse","MIR212_Exon","Promoter (<=1kb)","11",75173399,"Hic1"
"cg02909927",-0.090581062,-0.026285595,"17",17784078,"RAI1","RAI1",10743,"conserved gene and region in mouse and human","RAI1_Intron","Intron (ENST00000353383.6/10743, intron 2 of 5)","11",60177445,"Rai1"
"cg05474883",1.463495247,0.95219804,"4",82354926,"HNRNPD","HNRNPD",3184,"conserved gene and region in mouse and human","HNRNPD_threeUTR","3' UTR","5",99962129,"Hnrnpd"
"cg05584618",0.077621693,0.001226466,"4",95505316,"UNC5C","UNC5C",8633,"conserved gene and region in mouse and human","UNC5C_Intron","Intron (ENST00000453304.6/8633, intron 1 of 15)","3",141510017,"Unc5c"
"cg06679868",-0.485470728,-0.087059824,"4",157363026,"GRIA2","GRIA2",2891,"mapped in human, not mapped in mouse","GRIA2_Exon","Exon (ENST00000507898.5/2891, exon 15 of 16)","3",80689123,"Gria2"
"cg16391501",0.092342034,0.030968394,"10",100654689,"PAX2","PAX2",5076,"conserved gene and region in mouse and human","PAX2_Intergenic_upstream","Distal Intergenic","19",44670430,"Pax2"
"cg17357006",0.252350511,0.015169366,"10",112538434,"VTI1A","VTI1A",143187,"conserved gene but different region in human and mouse","VTI1A_Exon","Exon (ENST00000496445.5/143187, exon 5 of 5)","19",55391972,"Vti1a"
"cg19090691",-0.229115434,-0.029490256,"10",99537359,"NKX2-3","NKX2-3",159296,"conserved gene and region in mouse and human","NKX2-3_Intergenic_downstream","Distal Intergenic","19",43616760,"Nkx2-3"
"cg19425332",-0.08828666,-0.014870782,"10",117139358,"VAX1","VAX1",11023,"conserved gene and region in mouse and human","VAX1_Promoter","Promoter (1-2kb)","19",59171294,"Vax1"
"cg25651791",-0.044638282,-0.010173533,"9",124769837,"NR6A1","NR6A1",2649,"conserved gene and region in mouse and human","NR6A1_Intron","Intron (ENST00000487099.7/2649, intron 1 of 9)","2",38925333,"Nr6a1"
"cg25905455",-0.199590221,-0.048321972,"9",129437326,"LINC00963","LINC00963",100506190,"mapped to different gene in human and mouse","LINC00963_Intron","Intron (ENST00000436510.1/ENST00000436510.1, intron 1 of 1)","2",30677229,"Cstad"
"cg26616379",-1.074544955,-0.424801411,"9",95506573,"PTCH1","PTCH1",5727,"conserved gene and region in mouse and human","PTCH1_fiveUTR","5' UTR","13",63563789,"Ptch1"
"cg26920416",0.150984652,0.061176379,"9",138102700,"CACNA1B","CACNA1B",774,"conserved gene and region in mouse and human","CACNA1B_Intron","Intron (ENST00000371372.6/774, intron 37 of 46)","2",24625344,"Cacna1b"
"cg22234802",-0.344161736,-0.181007537,"5",146230899,"RBM27","RBM27",54439,"conserved gene and region in mouse and human","RBM27_Exon","Exon (ENST00000506502.2/54439, exon 6 of 20)","18",42300492,"Rbm27"
"cg23089474",0.57092582,0.35836149,"5",142357056,"SPRY4-AS1","SPRY4",101926941,"mapped to different gene in human and mouse","SPRY4-AS1_Intron","Intron (ENST00000510311.5/101926941, intron 3 of 3)","18",38631673,"Spry4"
"cg24924928",0.08172459,0.072277747,"17",29286101,"NUFIP2","NUFIP2",57532,"conserved gene and region in mouse and human","NUFIP2_Exon","Exon (ENST00000225388.9/57532, exon 2 of 4)","11",77693144,"Nufip2"
"cg24975211",-0.127923574,-0.008658588,"17",40093013,"THRA","THRA",7067,"mapped to different gene in human and mouse","THRA_threeUTR","3' UTR","11",98768150,"Nr1d1"
"cg26072749",-0.141077514,-0.07771169,"17",48579912,"HOXB3","MIR10A",3213,"mapped to different gene in human and mouse","HOXB3_Exon","Exon (ENST00000548801.1/406902, exon 1 of 1)","11",96317199,"Hoxb4"
"cg26598122",-0.097926748,-0.1126144,"17",40129591,"MSL1","MSL1",339287,"mapped to different gene in human and mouse","MSL1_Exon","Exon (ENST00000398532.9/339287, exon 3 of 9)","11",98800346,"Msl1"
"cg27294582",-0.022834228,-0.036941452,"17",48615092,"HOXB7","HOXB8",3217,"mapped in human, not mapped in mouse","HOXB7_fiveUTR","5' UTR","11",96282557,"Hoxb8"
"cg27430422",0.503727168,0.21164923,"17",35824152,"TAF15","TAF15",8148,"conserved gene and region in mouse and human","TAF15_Exon","Exon (ENST00000604879.5/8148, exon 7 of 10)","11",83488999,"Taf15"
"cg27492942",-0.118860911,-0.026234893,"17",38729712,"MLLT6","MLLT6",4302,"conserved gene and region in mouse and human","MLLT6_threeUTR","3' UTR","11",97685376,"Mllt6"
"cg01450059",-0.102338504,-0.027134492,"18",25140479,"ZNF521","ZNF521",25925,"conserved gene and region in mouse and human","ZNF521_Intron","Intron (ENST00000361524.8/25925, intron 5 of 7)","18",13765184,"Zfp521"
"cg02184281",-0.024118013,-0.085773654,"18",48921427,"SMAD7","SMAD7",4092,"conserved gene and region in mouse and human","SMAD7_Exon","Exon (ENST00000262158.7/4092, exon 4 of 4)","18",75394309,"Smad7"
"cg27547112",0.087689373,0.02947715,"9",83973650,"HNRNPK","HNRNPK",3190,"conserved gene but different region in human and mouse","HNRNPK_Intron","Intron (ENST00000448389.1/ENST00000448389.1, intron 1 of 1)","13",58395939,"Hnrnpk"
"cg01301326",-0.063319619,-0.004566517,"X",40155180,"BCOR","BCOR",54880,"conserved gene but different region in human and mouse","BCOR_Intron","Intron (ENST00000378455.8/54880, intron 1 of 13)","X",12136912,"Bcor"
"cg25410683",-0.052597306,-0.085329616,"18",48921744,"SMAD7","SMAD7",4092,"conserved gene and region in mouse and human","SMAD7_Exon","Exon (ENST00000262158.7/4092, exon 4 of 4)","18",75393992,"Smad7"
"cg01631669",-0.312270186,-0.058052296,"19",31346540,"TSHZ3","TSHZ3",57616,"conserved gene and region in mouse and human","TSHZ3_Intron","Intron (ENST00000651361.1/57616, intron 1 of 6)","7",36700821,"Tshz3"
"cg02376954",-0.625658462,-0.168298169,"19",1425897,"DAZAP1","DAZAP1",26528,"conserved gene and region in mouse and human","DAZAP1_Exon","Exon (ENST00000336761.10/26528, exon 7 of 13)","10",80280948,"Dazap1"
"cg20424997",0.731503702,0.165044824,"16",58588863,"CNOT1","CNOT1",23019,"mapped in human, not mapped in mouse","CNOT1_Exon","Exon (ENST00000317147.10/23019, exon 3 of 49)","8",95775343,"Cnot1"
"cg05817746",-0.006455397,-0.004281869,"1",44296999,"ERI3","ERI3",79033,"conserved gene and region in mouse and human","ERI3_Intron","Intron (ENST00000456170.6/79033, intron 3 of 6)","4",117605269,"Eri3"
"cg06004718",-0.209343459,-0.151476537,"1",167398080,"POU2F1","POU2F1",5451,"mapped in human, not mapped in mouse","POU2F1_threeUTR","3' UTR","1",165896489,"Pou2f1"
"cg06392591",-0.021838112,-0.021720168,"1",164651460,"PBX1","PBX1",5087,"conserved gene and region in mouse and human","PBX1_Intron","Intron (ENST00000340699.7/5087, intron 3 of 3)","1",168342059,"Pbx1"
"cg06607996",-0.351765383,-0.064283256,"1",155005126,"ZBTB7B","ZBTB7B",51043,"conserved gene and region in mouse and human","ZBTB7B_Intron","Intron (ENST00000417934.6/51043, intron 1 of 4)","3",89390863,"Zbtb7b"
"cg15254020",0.027928649,0.027396999,"9",123422950,"DENND1A","DENND1A",57706,"conserved gene and region in mouse and human","DENND1A_Intron","Intron (ENST00000473039.5/57706, intron 14 of 17)","2",37832524,"Dennd1a"
"cg16571746",0.04790418,0.022568122,"9",14314661,"NFIB","NFIB",4781,"mapped in human, not mapped in mouse","NFIB_Intron","Intron (ENST00000635877.1/4781, intron 1 of 9)",NA,NA,NA
"cg17437489",-0.363203186,-0.073398172,"9",125763666,"PBX3","PBX3",5090,"conserved gene and region in mouse and human","PBX3_Intron","Intron (ENST00000342287.9/5090, intron 2 of 7)","2",34355947,"Pbx3"
"cg17516812",-0.074905312,-0.014273643,"9",16773158,"BNC2","BNC2",54796,"conserved gene and region in mouse and human","BNC2_Intron","Intron (ENST00000380672.9/54796, intron 1 of 6)","4",84586639,"Bnc2"
"cg04707251",-0.243036498,-0.15734952,"2",38581978,"HNRNPLL","HNRNPLL",92906,"conserved gene and region in mouse and human","HNRNPLL_Exon","Exon (ENST00000449105.8/92906, exon 6 of 13)","17",80048673,"Hnrnpll"
"cg05243338",-0.156998923,-0.111901872,"2",199380434,"SATB2","SATB2",23314,"mapped in human, not mapped in mouse","SATB2_Exon","Exon (ENST00000417098.6/23314, exon 5 of 11)","1",56898016,"Satb2"
"cg05359706",0.000826214,0.050629195,"2",178331552,"OSBPL6","OSBPL6",114880,"mapped in human, not mapped in mouse","OSBPL6_Exon","Exon (ENST00000392505.6/114880, exon 6 of 26)","2",76548319,"Osbpl6"
"cg05535461",0.159065181,0.005687636,"2",172072476,"METAP1D","METAP1D",254042,"conserved gene and region in mouse and human","METAP1D_Intron","Intron (ENST00000315796.5/254042, intron 6 of 9)","2",71517174,"Metap1d"
"cg08402704",0.144376177,0.05650356,"1",90851824,"LINC01763","BARHL2",105378854,"mapped to different gene in human and mouse","LINC01763_Exon","Promoter (<=1kb)","5",106574936,"Gm17304"
"cg25139325",-0.469892649,-0.42765557,"1",167222453,"POU2F1","POU2F1",5451,"conserved gene and region in mouse and human","POU2F1_Intron","Intron (ENST00000559038.5/5451, intron 1 of 4)","1",166001158,"Pou2f1"
"cg25278124",0.242845815,0.159114903,"1",27552111,"AHDC1","AHDC1",27245,"conserved gene and region in mouse and human","AHDC1_Exon","Exon (ENST00000247087.10/27245, exon 5 of 6)","4",133061453,"Ahdc1"
"cg25687751",-0.643612656,-0.184949697,"1",35181211,"SFPQ","SFPQ",6421,"conserved gene but different region in human and mouse","SFPQ_Exon","Exon (ENST00000490668.5/6421, exon 1 of 4)","4",127032728,"Sfpq"
"cg21633990",0.031235546,0.010667986,"9",134830033,"COL5A1","COL5A1",1289,"conserved gene and region in mouse and human","COL5A1_Exon","Exon (ENST00000371817.7/1289, exon 64 of 66)","2",28029024,"Col5a1"
"cg03163184",0.027285849,0.027326053,"12",16610213,"LMO3","LMO3",55885,"conserved gene but different region in human and mouse","LMO3_Promoter","Promoter (<=1kb)","6",138426780,"Lmo3"
"cg27228973",-0.071520127,-0.099499472,"1",41404380,"FOXO6-AS1","EDN2",101929901,"mapped in human, not mapped in mouse","FOXO6-AS1_Intergenic_upstream","Distal Intergenic","4",120243117,"Foxo6"
"cg00643485",0.2041363,0.106150468,"2",55303112,"CCDC88A","CCDC88A",55704,"conserved gene but different region in human and mouse","CCDC88A_threeUTR","3' UTR","11",29497382,"Ccdc88a"
"cg01571965",0.060989714,0.011414881,"2",60460693,"BCL11A","BCL11A",53335,"conserved gene but different region in human and mouse","BCL11A_threeUTR","3' UTR","11",24164876,"Bcl11a"
"cg00489428",0.451606302,0.259347448,"17",28759267,"FAM222B","FAM222B",55731,"mapped in human, not mapped in mouse","FAM222B_threeUTR","3' UTR","11",78154305,"Fam222b"
"cg01293647",-0.090441516,-0.150593826,"17",39608011,"NEUROD2","NEUROD2",4761,"conserved gene but different region in human and mouse","NEUROD2_Exon","Promoter (<=1kb)","11",98329716,"Neurod2"
"cg14443903",-0.005264774,-0.103686704,"19",30718448,"ZNF536","ZNF536",9745,"conserved gene and region in mouse and human","ZNF536_Intergenic_downstream","Distal Intergenic","7",37312574,"Zfp536"
"cg14919591",-0.885338833,-0.290249893,"19",33796112,"KCTD15","KCTD15",79047,"conserved gene and region in mouse and human","KCTD15_Promoter","Promoter (<=1kb)","7",34655153,"Kctd15"
"cg15237969",-0.051187636,-0.031452126,"2",161356198,"PSMD14","PSMD14",10213,"mapped in human, not mapped in mouse","PSMD14_Intron","Intron (ENST00000409682.8/10213, intron 3 of 11)","2",61751456,"Psmd14"
"cg19296119",-0.030187804,-0.007126386,"15",73774908,"INSYN1-AS1","INSYN1",101929221,"mapped to different gene in human and mouse","INSYN1-AS1_Intergenic_downstream","Distal Intergenic","9",58467608,"Insyn1"
"cg24504442",0.762227834,0.194803463,"15",37099474,"MEIS2","MEIS2",4212,"conserved gene and region in mouse and human","MEIS2_fiveUTR","5' UTR","2",116064821,"Meis2"
